MR,Source,Followup,Result,BLEU_Score
2,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.",Gatherings that are deemed essential and may continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.,"Gatherings considered essential and which can continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now, but have been asked to restrict mass gatherings such as assemblies and lectures of more than 500 people.",0.853658537
2,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.",At this stage spaces or locations where 500 or more people may be in transit. Such as Federation Square or Bourke Street Mall. Are excluded from the ban on mass gatherings.,At this stage spaces or places where 500 or more people may be in transit. Like Federation Square or Bourke Street Mall. They are excluded from the ban on mass gatherings.,0.870967742
2,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.",However. If it is deemed necessary to protect public health. The powers can also be used in future to quarantine entire suburbs. Businesses or professions – rather than just individuals.,Nonetheless. If deemed necessary to protect public health. The powers can also be used in the future to quarantine entire suburbs. Companies or professions – rather than just individuals.,0.8661631
2,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,-,-,
2,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are voluntarily complying with requests to isolate. The expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians voluntarily comply with requests for isolation. The expanded powers mean that people who fail to comply with a directive can face a fine of up to $20,000.",0.8
2,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,
2,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,-,-,
2,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,-,-,
2,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”",“We are taking these steps. after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers. to contain the spread of coronavirus as much as we can.”,“We are taking these measures. after agreement by the National Cabinet which includes the prime minister and all prime ministers and chief ministers. to contain the spread of the coronavirus as much as we can.”,0.714285714
2,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.",A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people. as agreed by National Cabinet yesterday.,A state of emergency has been declared in Victoria to combat COVID-19 and gives the Chief Health Officer the necessary powers to enforce the 14-day isolation requirement for all travelers entering Australia and cancel more than 500 gatherings. People as approved by the Cabinet yesterday,0.656215499
2,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.",Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday. 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.,"Prime Minister Daniel Andrews and Health Minister Jenny Micakos announced the state of emergency would begin on Monday, March 16 at noon. and is in effect for the next four weeks to help with measures designed to 'Smooth the curve' of COVID-19 and give our health systems the best chance of managing the virus.",0.745328291
2,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Under a State of Emergency, Authorised Officers. At the direction of the Chief Health Officer. Can act to eliminate or reduce a serious risk to public health by detaining people. Restricting movement. Preventing entry to premises. Or providing any other direction an AO considers reasonable to protect public health.","Under an emergency, competent officials as recommended by the Chief Health Officer Actions can be taken to eliminate or reduce serious risks to public health by imprisoning individuals. limited movement prevent entry into the premises or give any other direction the AO deems reasonable to protect public health.",0.510094886
2,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.",The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events. sporting events or conferences.,"The first direction from the chief health officer under these new powers would include banning non-essential gatherings of more than 500 people, such as cultural events, sporting events or conferences.",0.733333333
2,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.",A number of our state’s largest cultural institutions including the National Gallery of Victoria. The State Library and Museums Victoria have also announced temporary closures. And events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.,"Many of the largest cultural institutions of our state including the National Gallery of Victoria The State Library and Museum of Victoria has also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have been postponed.",0.772727273
2,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.",Gatherings that are deemed essential and may continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.,"The assembly was deemed necessary and may continue including public transport. Food and work markets, schools, TAFEs and universities will remain open for now But they were asked to limit large gatherings, such as gatherings and lectures with more than 500 participants.",0.571428571
2,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.",At this stage spaces or locations where 500 or more people may be in transit. Such as Federation Square or Bourke Street Mall. Are excluded from the ban on mass gatherings.,"At this stage, areas or places where 500 or more people may be in transit, such as Federation Square or the Bourke Street Mall, will be barred from the ban.",0.612570197
2,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.",However. If it is deemed necessary to protect public health. The powers can also be used in future to quarantine entire suburbs. Businesses or professions – rather than just individuals.,however. If it is necessary to protect public health Such powers can also be used to quarantine all future suburbs. Business or Career – Not Just Individuals,0.596559545
2,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,-,-,
2,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are voluntarily complying with requests to isolate. The expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While the majority of Victorians were willing to comply with their request for secession. The increased power means that those who fail to comply with the order may be fined up to $20,000.",0.393939394
2,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,
2,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,-,-,
2,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,-,-,
2,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”",“We are taking these steps. after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers. to contain the spread of coronavirus as much as we can.”,"“We are taking these steps. After an agreement from the Cabinet, which includes the Prime Minister, the Prime Minister and all the Chief Ministers to stop the spread of the coronavirus as much as possible.”",0.657142857
2,"A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people, as agreed by National Cabinet yesterday.",A State of Emergency has been declared in Victoria to combat COVID-19 and help to provide the Chief Health Officer with the powers he needs to enforce 14-day isolation requirements for all travellers entering Australia and cancel mass gatherings of more than 500 people. as agreed by National Cabinet yesterday.,Victoria has declared a state of emergency to combat COVID-19 and help give the health chief the powers she needs to enforce 14-day isolation requirements for all travelers entering Australia and cancel mass gatherings of more than 500 people. as the state cabinet agreed yesterday.,0.676100817
2,"Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday, 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.",Premier Daniel Andrews and Minister for Health Jenny Mikakos announced that the State of Emergency would begin on Monday. 16 March at midday and be in force for the next four weeks to assist with measures designed to ‘flatten the curve’ of COVID-19 and give our health system the best chance of managing the virus.,Premier Daniel Andrews and Health Minister Jenny Mikakos announced the state of emergency would begin on Monday. at noon on March 16 and will be in effect for the next four weeks to help implement measures designed to flatten the curve of COVID-19 and give our health care system the best chance of dealing with the virus.,0.789473684
2,"Under a State of Emergency, Authorised Officers, at the direction of the Chief Health Officer, can act to eliminate or reduce a serious risk to public health by detaining people, restricting movement, preventing entry to premises, or providing any other direction an AO considers reasonable to protect public health.","Under a State of Emergency, Authorised Officers. At the direction of the Chief Health Officer. Can act to eliminate or reduce a serious risk to public health by detaining people. Restricting movement. Preventing entry to premises. Or providing any other direction an AO considers reasonable to protect public health.",Officials authorized in an emergency. By order of the health chief. Can eliminate or reduce a serious threat to public health by detaining people. Restriction of movement. Preventing entry into the premises. Or issuing any other direction as the AO deems reasonable to protect public health.,0.631364718
2,"The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events, sporting events or conferences.",The first direction from the Chief Health Officer under these new powers will include banning non-essential mass gatherings of over 500 people such as cultural events. sporting events or conferences.,"The director-general of health's first directive under these new powers includes a ban on non-essential mass gatherings of more than 500 people, such as cultural events. sporting events or conferences.",0.633333333
2,"A number of our state’s largest cultural institutions including the National Gallery of Victoria, the State Library and Museums Victoria have also announced temporary closures, and events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.",A number of our state’s largest cultural institutions including the National Gallery of Victoria. The State Library and Museums Victoria have also announced temporary closures. And events such as the Melbourne Comedy Festival and Melbourne Food and Wine Festival have already been postponed.,"Several of our state's greatest cultural institutions, including the National Gallery of Victoria. State Library and Museums Victoria has also announced temporary closures. And events such as the Melbourne Comedy Festival and the Melbourne Food and Wine Festival have already been postponed.",0.836975731
2,"Gatherings that are deemed essential and may continue include public transport, food markets and workplaces. Schools, TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.",Gatherings that are deemed essential and may continue include public transport. Food markets and workplaces. Schools. TAFEs and universities will remain open for now but have been asked to restrict mass gatherings such as assemblies and lectures of over 500 people.,"Gatherings that are considered essential and may continue include public transportation. Food markets and jobs. Schools. TAFEs and universities remain open for now, but have been asked to limit mass gatherings such as gatherings and lectures of more than 500 people.",0.804878049
2,"At this stage spaces or locations where 500 or more people may be in transit, such as Federation Square or Bourke Street Mall, are excluded from the ban on mass gatherings.",At this stage spaces or locations where 500 or more people may be in transit. Such as Federation Square or Bourke Street Mall. Are excluded from the ban on mass gatherings.,"At this stage, rooms or places where there may be 500 or more people. For example, Federation Square or Bourke Street Mall. Excluded from the ban on mass gatherings.",0.675880557
2,"However, if it is deemed necessary to protect public health, the powers can also be used in future to quarantine entire suburbs, businesses or professions – rather than just individuals.",However. If it is deemed necessary to protect public health. The powers can also be used in future to quarantine entire suburbs. Businesses or professions – rather than just individuals.,However. If it is considered necessary to protect public health. These powers can also be used to quarantine entire suburbs in the future. Companies or professions - not just individuals.,0.733333333
2,The powers also allow the Chief Health Officer to do whatever is necessary to contain the spread of the virus and reduce the risk to the health of Victorians.,-,-,
2,"While most Victorians are voluntarily complying with requests to isolate, the expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","While most Victorians are voluntarily complying with requests to isolate. The expanded powers mean that people who don’t comply with a directive could receive a fine of up to $20,000.","Although most Victorians complete isolation requests voluntarily. The expanded powers mean people who fail to comply with the directive could face fines of up to $20,000.",0.593587329
2,"Fines for body corporates that don’t comply could be up to $100,000.",-,-,
2,This is another step in the Victorian Government’s plan to combat this virus and do what we need to do to slow the spread of COVID-19.,-,-,
2,Anyone needing advice about whether a mass gathering can proceed can contact the DHHS advice line on 1800 675 398.,-,-,
2,"“We are taking these steps, after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers, to contain the spread of coronavirus as much as we can.”",“We are taking these steps. after agreement from the National Cabinet that includes the Prime Minister and all Premiers and Chief Ministers. to contain the spread of coronavirus as much as we can.”,"""We are taking these steps. after approval from the Cabinet of Ministers, which includes the Prime Minister and all Prime Ministers and Chief Ministers. to limit the spread of the coronavirus as much as possible.",0.714285714
2,m. at a place where five hundred (500) or more persons may be present for the purposes of transiting through the place; or,-,-,
2,n. specified as exempt from this direction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,-,-,
2,"6. For the purposes of paragraph 5(k), a school event that involves members of the community in addition to staff and students is deemed not necessary for the normal business of the facility.",6. For the purposes of paragraph 5(k). A school event that involves members of the community in addition to staff and students is deemed not necessary for the normal business of the facility.,6. For the purpose of paragraph 5(k). School events involving members of the community in addition to staff and students are considered unnecessary for the normal business of the facility.,0.693708687
2,"Note: The intended effect of paragraph 6 is that a school event that involves members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) or more persons in a single undivided space at the same time. School events include assemblies, sporting events or parent-teacher events.",-,-,
2,Note: the exclusions identified in paragraph 5 will be reviewed on a day to day basis and further directions are expected to be issued to remove some of the current exclusions.,-,-,
2,"7. Except in those circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight that originated from a place outside Australia, or on a connecting flight from a flight that originated from a place outside Australia:",7. Except in those circumstances identified in paragraph 8 below. A person who arrives at an airport in Victoria on a flight that originated from a place outside Australia. Or on a connecting flight from a flight that originated from a place outside Australia:,7. Except in the circumstances identified in paragraph 8 below. A person arriving at an airport in Victoria on a flight originating from somewhere outside Australia. Or on a connecting flight from a flight originating from a place outside Australia:,0.791732741
2,a. must travel from the airport to a premises that is suitable for the person to reside in for a period of 14 days;,-,-,
2,"b. except in exceptional circumstances, must reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;",b. except in exceptional circumstances. Must reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;,b. except in exceptional circumstances. Must stay at the premises for a period starting on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;,0.866666667
2,"c. must not leave the premises, except: for the purposes of obtaining medical care or medical supplies;",c. must not leave the premises. Except: for the purposes of obtaining medical care or medical supplies;,c. cannot leave the premises. Except: for the purpose of obtaining medical treatment or medical supplies;,0.763273114
2,"c. must not leave the premises, except: in any other emergency situation;",c. must not leave the premises. Except: in any other emergency situation;,c. cannot leave the premises. Except: in any other emergency situation;,0.83009156
2,"c. must not leave the premises, except: in circumstances where it is possible to avoid close contact with other persons; and",c. must not leave the premises. Except: in circumstances where it is possible to avoid close contact with other persons; and,c. cannot leave the premises. Except: in circumstances where it is possible to avoid close contact with other people; and,0.856106482
2,"d. must not permit any other person to enter the premises unless that other person usually lives at the premises, or the other person is also complying with this direction for the same 14 day period, or for medical or emergency purposes.",d. must not permit any other person to enter the premises unless that other person usually lives at the premises. Or the other person is also complying with this direction for the same 14 day period. Or for medical or emergency purposes.,d. must not allow any other person to enter the premises unless that other person usually lives on the premises. Or others also follow these instructions for the same 14-day period. Or for medical or emergency purposes.,0.708322581
2,8. A person is not required to comply with the direction in paragraph 7 if the person is: a member of the flight crew;,-,-,
2,8. A person is not required to comply with the direction in paragraph 7 if the person is: a citizen or permanent resident of a Pacific Island; or,-,-,
2,8. A person is not required to comply with the direction in paragraph 7 if the person is: a person intending to live indefinitely on a Pacific Island and who is travelling through an airport in Victoria in transit to the Pacific Island.,-,-,
2,"(1) A person must not refuse or fail to comply with a direction given to the person, or a requirement made of the person, in the exercise of a power under an authorisation given under section 199.",(1) A person must not refuse or fail to comply with a direction given to the person. Or a requirement made of the person. In the exercise of a power under an authorisation given under section 199.,(1) A person shall not refuse or fail to comply with instructions given to that person. Or the needs made by the person. In exercise of powers under the authorization granted under section 199.,0.700122975
2,(2) A person is not guilty of an offence against subsection (1) if the person had a reasonable excuse for refusing or failing to comply with the direction or requirement.,-,-,
2,m. at a place where five hundred (500) or more persons may be present for the purposes of transiting through the place; or,-,-,
2,n. specified as exempt from this direction by the Chief Health Officer in writing or delivered by an operator who has a social distancing policy approved in writing by the Chief Health Officer.,-,-,
2,"6. For the purposes of paragraph 5(k), a school event that involves members of the community in addition to staff and students is deemed not necessary for the normal business of the facility.",6. For the purposes of paragraph 5(k). A school event that involves members of the community in addition to staff and students is deemed not necessary for the normal business of the facility.,6. For the purposes of paragraph 5(k). School events involving community members in addition to staff and students are not considered necessary for the normal operation of the facility.,0.690919024
2,"Note: The intended effect of paragraph 6 is that a school event that involves members of the community in addition to staff and students will be a mass gathering if it involves a gathering of five hundred (500) or more persons in a single undivided space at the same time. School events include assemblies, sporting events or parent-teacher events.",-,-,
2,Note: the exclusions identified in paragraph 5 will be reviewed on a day to day basis and further directions are expected to be issued to remove some of the current exclusions.,-,-,
2,"7. Except in those circumstances identified in paragraph 8 below, a person who arrives at an airport in Victoria on a flight that originated from a place outside Australia, or on a connecting flight from a flight that originated from a place outside Australia:",7. Except in those circumstances identified in paragraph 8 below. A person who arrives at an airport in Victoria on a flight that originated from a place outside Australia. Or on a connecting flight from a flight that originated from a place outside Australia:,7. Except in the circumstances specified in Section 8 below. A person arriving at an airport in Victoria on a flight originating from a location other than Australia. Or connecting flights from flights originating outside Australia:,0.556067641
2,a. must travel from the airport to a premises that is suitable for the person to reside in for a period of 14 days;,-,-,
2,"b. except in exceptional circumstances, must reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;",b. except in exceptional circumstances. Must reside in that premises for the period beginning on the day of arrival and ending at midnight on the fourteenth (14th) day after arrival;,b. Except in exceptional circumstances. You must reside in the facility for a period beginning on the day of arrival and ending at midnight on the 14th day after arrival.,0.766666667
2,"c. must not leave the premises, except: for the purposes of obtaining medical care or medical supplies;",c. must not leave the premises. Except: for the purposes of obtaining medical care or medical supplies;,c. Do not leave the field. Exception: To obtain medical or pharmaceutical products.,0.339296068
2,"c. must not leave the premises, except: in any other emergency situation;",c. must not leave the premises. Except: in any other emergency situation;,c. Do not leave the field. Exception: Other emergencies.,0.31845836
2,"c. must not leave the premises, except: in circumstances where it is possible to avoid close contact with other persons; and",c. must not leave the premises. Except: in circumstances where it is possible to avoid close contact with other persons; and,"c. Do not leave the field. However, if it is possible to avoid close contact with other people. When",0.615849428
2,"d. must not permit any other person to enter the premises unless that other person usually lives at the premises, or the other person is also complying with this direction for the same 14 day period, or for medical or emergency purposes.",d. must not permit any other person to enter the premises unless that other person usually lives at the premises. Or the other person is also complying with this direction for the same 14 day period. Or for medical or emergency purposes.,d. Do not allow other persons to enter the premises unless other persons normally live on the premises. Or others have followed this instruction for the same 14 days. Or for medical or emergency purposes.,0.538023066
2,8. A person is not required to comply with the direction in paragraph 7 if the person is: a member of the flight crew;,-,-,
2,8. A person is not required to comply with the direction in paragraph 7 if the person is: a citizen or permanent resident of a Pacific Island; or,-,-,
2,8. A person is not required to comply with the direction in paragraph 7 if the person is: a person intending to live indefinitely on a Pacific Island and who is travelling through an airport in Victoria in transit to the Pacific Island.,-,-,
2,"(1) A person must not refuse or fail to comply with a direction given to the person, or a requirement made of the person, in the exercise of a power under an authorisation given under section 199.",(1) A person must not refuse or fail to comply with a direction given to the person. Or a requirement made of the person. In the exercise of a power under an authorisation given under section 199.,(1) A person should not refuse or disobey instructions given to him. Or a request from that person. exercising powers under powers conferred under Section 199;,0.327514122
2,(2) A person is not guilty of an offence against subsection (1) if the person had a reasonable excuse for refusing or failing to comply with the direction or requirement.,-,-,
2,"The World Health Organisation defines dementia as a syndrome that leads to a decline in the ability to process thought, beyond what is expected from the usual consequences of ageing.",The World Health Organisation defines dementia as a syndrome that leads to a decline in the ability to process thought. What beyond is expected from the usual consequences of ageing.,The World Health Organization defines dementia as a syndrome that leads to a decline in the ability to process thoughts. What is beyond what is expected of the normal consequences of aging.,0.78125
2,"Dementia can affect a person’s: memory, thinking, behaviour, communication, judgement, ability to perform daily activities.",Dementia can affect a person’s: memory. Thinking. Behaviour. Communication. Judgement. Ability to perform daily activities.,Dementia can affect a person's: memory. Thinking. Behavior. Communication. Judgement. Ability to perform daily activities.,0.866666667
2,"Dementia can affect anyone of any age; however, it is most common among people aged 65 years and older.",Dementia can affect anyone of any age. However. It is most common among people aged 65 years and older.,Dementia can affect anyone at any age. But. It is most common among people aged 65 and older.,0.840852861
2,"While ageing increases your risk of dementia, it is not a normal part of ageing.",While ageing increases your risk of dementia. It is not a normal part of ageing.,While aging increases the risk of dementia. It is not a normal part of aging.,0.8
2,Younger onset dementia describes any form of dementia affecting a person under the age of 65.,-,-,
2,"There are multiple types of dementia, including: Alzheimer’s disease, vascular dementia, dementia with Lewy bodies, frontotemporal dementia, alcohol-related dementia, younger onset dementia, chronic traumatic encephalopathy (CTE).","There are multiple types of dementia, including: Alzheimer’s disease. Vascular dementia. Dementia with Lewy bodies. Frontotemporal dementia. Alcohol-related dementia. Younger onset dementia. Chronic traumatic encephalopathy (CTE).","There are several types of dementia, including: Alzheimer's disease. Vascular dementia. Dementia with Lewy bodies. Frontotemporal dementia. Alcohol-related dementia. Younger onset dementia. Chronic traumatic encephalopathy (CTE).",0.923076923
2,Some risk factors for dementia can be reduced by looking after your mental and physical health.,-,-,
2,"Several factors can contribute to the risk of developing dementia, including: age, genetics and family history, poor diet, lack of exercise, smoking, drinking alcohol, social isolation, other diseases or causes of damage to the brain.",Several factors can contribute to the risk of developing dementia. Including: age. Genetics and family history. Poor diet. Lack of exercise. Smoking. Drinking alcohol. Social isolation. Other diseases or causes of damage to the brain.,Several factors can contribute to the risk of developing dementia. Including: age. Genetics and family history. Bad diet. Lack of training. Smoking. Drinking alcohol. Social isolation. Other diseases or causes of damage to the brain.,0.942857143
2,"To lower your risk of developing dementia, you can: improve or maintain your physical health through diet and exercise, limit alcohol consumption and avoid smoking, maintain an active social life, keep mentally stimulated.",To lower your risk of developing dementia. You can: improve or maintain your physical health through diet and exercise. Limit alcohol consumption and avoid smoking. Maintain an active social life. Keep mentally stimulated.,To reduce the risk of developing dementia. You can: improve or maintain your physical health through diet and exercise. Limit alcohol consumption and avoid smoking. Maintain an active social life. Keep yourself mentally stimulated.,0.911764706
2,"The Australian Institute of Health and Welfare estimates that up to 472,000 Australians are living with dementia.",-,-,
2,"In 2019, dementia was the second leading cause of death in Australia, and the leading cause of death among Australian women.",In 2019. Dementia was the second leading cause of death in Australia. And the leading cause of death among Australian women.,In 2019. Dementia was the second leading cause of death in Australia. And the leading cause of death among Australian women.,1
2,"In Australia, 1 in 12 people aged 65 and over are living with dementia",In Australia. 1 in 12 people aged 65 and over are living with dementia,In Australia. 1 in 12 people aged 65 and over live with dementia,0.854733303
2,"In Australia, 2 in 5 people aged 90 and over are living with dementia",In Australia. 2 in 5 people aged 90 and over are living with dementia,In Australia. 2 out of 5 people aged 90 and over live with dementia,0.785714286
2,"In Australia, dementia prevalence rates are 3-5 times higher among Indigenous Australians.",In Australia. Dementia prevalence rates are 3-5 times higher among Indigenous Australians.,In Australia. The incidence of dementia is 3-5 times higher among Indigenous Australians.,0.615384615
2,"The symptoms of dementia can vary depending on the person, the type of dementia and whether they have an early, middle or late stage of cognitive decline.",The symptoms of dementia can vary depending on the person.Tthe type of dementia and whether they have an early. Middle or late stage of cognitive decline.,The symptoms of dementia can vary depending on the person. The type of dementia and whether they have an early one. Middle or late stage of cognitive impairment.,0.821428571
2,"People living with dementia may experience a range of signs and symptoms, including: memory loss, changes in personality, confusion about time or place, difficulty speaking, writing, and comprehending, loss of emotion, interest and enthusiasm, reduced, capacity for decision-making, difficulty performing everyday tasks, irregular sleep.",People living with dementia may experience a range of signs and symptoms. Including: memory loss. Changes in personality. Confusion about time or place Difficulty speaking. Writing. And comprehending. Loss of emotion. Interest and enthusiasm. Reduced. Capacity for decision-making. Difficulty performing everyday tasks. Irregular sleep.,People living with dementia may experience a range of signs and symptoms. Including: amnesia. Changes in personality. Confusion about time or place. Difficulty speaking. Writing. And understand. Loss of emotions. Interest and enthusiasm. Reduced. Ability to make decisions. Difficulty carrying out everyday tasks. Irregular sleep.,0.777777778
2,The signs and symptoms of dementia may not be obvious.,-,-,
2,"If you notice any changes that are unusual for you, see your doctor.",If you notice any changes that are unusual for you. See your doctor.,If you notice changes that are unusual for you. See your doctor.,0.920044415
2,It is important to receive a confirmed diagnosis from your doctor.,-,-,
2,"To diagnose you, your doctor will ask you to provide your medical history and may conduct: physical and neurological examinations, cognitive and mental state assessment, blood or urine tests, specialist tests, such as a CT or MRI of the brain.",To diagnose you. Your doctor will ask you to provide your medical history and may conduct: physical and neurological examinations. Cognitive and mental state assessment. Blood or urine tests. Specialist tests. Such as a CT or MRI of the brain.,"To diagnose you. Your doctor will ask you to provide your medical history and may perform: physical and neurological examinations. Cognitive and mental state assessment. Blood or urine tests. Specialist tests. For example, a CT or MRI of the brain.",0.925
2,Currently there is no treatment available to cure dementia.,-,-,
2,"Symptoms can often be managed, which can help people with dementia live meaningful and fulfilling lives after diagnosis.",Symptoms can often be managed. Which can help people with dementia live meaningful and fulfilling lives after diagnosis.,Symptoms can often be managed. Which can help people with dementia to live meaningful and satisfying lives after the diagnosis.,0.85
2,Non-medicinal approaches can help to manage the challenging behaviours of dementia.,-,-,
2,"Non-medicinal approaches include: psychological therapies, including cognitive behavioural therapies, alternative therapies, including multi-sensory therapy, memory training and activities, changes to a person’s home or other environment to ensure it is dementia-friendly.",Non-medicinal approaches include: psychological therapies. Including cognitive behavioural therapies. Alternative therapies. Including multi-sensory therapy. Memory training and activities. Changes to a person’s home or other environment to ensure it is dementia-friendly.,Non-medical approaches include: psychological therapies. Including cognitive behavioral therapies. Alternative therapies. Including multisensory therapy. Memory training and activities. Changes to a person's home or other environment to ensure it is dementia-friendly.,0.870967742
2,"Medicinal approaches aim to: improve memory, thinking, and sleep, reduce delusions or hallucinations, reduce depression and anxiety.",Medicinal approaches aim to: improve memory. Thinking. And sleep. Reduce delusions or hallucinations. Reduce depression and anxiety.,Medical approaches aim to: improve memory. Thinking. And sleep. Reduce delusions or hallucinations. Reduce depression and anxiety.,0.941176471
2,Our initiatives and programs support people living with dementia and their carers at every stage – from diagnosis through to residential aged care.,-,-,
2,"These measures aim to: improve dementia diagnosis and early intervention, increase respite and support for informal carers, improve the capacity and quality of dementia care.",These measures aim to: improve dementia diagnosis and early intervention. Increase respite and support for informal carers. Improve the capacity and quality of dementia care.,These measures aim to: improve dementia diagnosis and early intervention. Increasing breathing space and support for informal carers. Improve the capacity and quality of dementia care.,0.884615385
2,"This will ensure that people living with dementia are: connected with the support they need after their diagnosis, enabled to remain in their home for longer, able to access high quality, dementia informed aged care services.",This will ensure that people living with dementia are: connected with the support they need after their diagnosis. Enabled to remain in their home for longer. Able to access high quality. Dementia informed aged care services.,This will ensure that people living with dementia are: linked to the support they need after the diagnosis. Makes it possible to stay in your home longer. Can access high quality. Dementia-informed elderly care.,0.63782595
2,"A healthy weight is the appropriate body weight for you – it is different for everyone and depends on your: gender, age, height, muscle mass, biological and genetic factors, including ethnic background.",A healthy weight is the appropriate body weight for you – it is different for everyone and depends on your gender. Age. Height. Muscle mass. Biological and genetic factors. Including ethnic background.,A healthy weight is the right weight for you - it's different for everyone and depends on your gender. Age. Height. Muscle mass. Biological and genetic factors. Including ethnicity.,0.777347123
